subject	method	block	trail	ct
2	A	1	1	3216
2	A	1	2	1992
2	A	1	3	1697
2	A	1	4	6982
2	A	1	5	2753
2	A	1	6	4600
2	A	1	7	3536
2	A	1	8	3264
2	A	1	9	4741
2	A	1	10	2336
2	A	2	1	2327
2	A	2	2	1651
2	A	2	3	6878
2	A	2	4	2025
2	A	2	5	1938
2	A	2	6	2105
2	A	2	7	5384
2	A	2	8	5431
2	A	2	9	5191
2	A	2	10	1892
2	A	3	1	2295
2	A	3	2	3263
2	A	3	3	3688
2	A	3	4	1512
2	A	3	5	2931
2	A	3	6	3688
2	A	3	7	2816
2	A	3	8	3512
2	A	3	9	1760
2	A	3	10	2151
2	A	4	1	6231
2	A	4	2	2400
2	A	4	3	2170
2	A	4	4	1584
2	A	4	5	2320
2	A	4	6	1672
2	A	4	7	3976
2	A	4	8	1504
2	A	4	9	2665
2	A	4	10	2167
3	A	1	1	1953
3	A	1	2	3560
3	A	1	3	2872
3	A	1	4	6176
3	A	1	5	3672
3	A	1	6	2833
3	A	1	7	2736
3	A	1	8	2473
3	A	1	9	2824
3	A	1	10	4128
3	A	2	1	3392
3	A	2	2	2289
3	A	2	3	1904
3	A	2	4	1936
3	A	2	5	6840
3	A	2	6	3080
3	A	2	7	1952
3	A	2	8	1672
3	A	2	9	2097
3	A	2	10	2457
3	A	3	1	2585
3	A	3	2	1664
3	A	3	3	1512
3	A	3	4	3233
3	A	3	5	1785
3	A	3	6	3712
3	A	3	7	1657
3	A	3	8	1979
3	A	3	9	2809
3	A	3	10	2064
3	A	4	1	1368
3	A	4	2	1528
3	A	4	3	2129
3	A	4	4	1857
3	A	4	5	1952
3	A	4	6	1664
3	A	4	7	2816
3	A	4	8	2049
3	A	4	9	1415
3	A	4	10	3112
2	B	1	1	5016
2	B	1	2	5856
2	B	1	3	3144
2	B	1	4	2793
2	B	1	5	15005
2	B	1	6	4144
2	B	1	7	4144
2	B	1	8	7503
2	B	1	9	2976
2	B	1	10	1720
2	B	2	1	5391
2	B	2	2	3471
2	B	2	3	4489
2	B	2	4	2144
2	B	2	5	5224
2	B	2	6	3064
2	B	2	7	2456
2	B	2	8	2432
2	B	2	9	2753
2	B	2	10	1872
2	B	3	1	2656
2	B	3	2	5136
2	B	3	3	3072
2	B	3	4	2489
2	B	3	5	3055
2	B	3	6	2432
2	B	3	7	1983
2	B	3	8	3168
2	B	3	9	2336
2	B	3	10	3240
2	B	4	1	3025
2	B	4	2	2312
2	B	4	3	4089
2	B	4	4	1897
2	B	4	5	2423
2	B	4	6	1624
2	B	4	7	2088
2	B	4	8	3328
2	B	4	9	2256
2	B	4	10	2832
3	B	1	1	3265
3	B	1	2	4160
3	B	1	3	4640
3	B	1	4	2032
3	B	1	5	2520
3	B	1	6	2441
3	B	1	7	1840
3	B	1	8	5033
3	B	1	9	2529
3	B	1	10	3032
3	B	2	1	1880
3	B	2	2	1584
3	B	2	3	1761
3	B	2	4	2784
3	B	2	5	2120
3	B	2	6	2048
3	B	2	7	1728
3	B	2	8	2233
3	B	2	9	2608
3	B	2	10	2560
3	B	3	1	4432
3	B	3	2	2433
3	B	3	3	1489
3	B	3	4	1471
3	B	3	5	1807
3	B	3	6	1665
3	B	3	7	2456
3	B	3	8	1704
3	B	3	9	4344
3	B	3	10	3089
3	B	4	1	1935
3	B	4	2	2367
3	B	4	3	3816
3	B	4	4	2760
3	B	4	5	1584
3	B	4	6	2376
3	B	4	7	2072
3	B	4	8	2233
3	B	4	9	2208
3	B	4	10	3793
2	C	1	1	4517
2	C	1	2	4607
2	C	1	3	6743
2	C	1	4	2024
2	C	1	5	2409
2	C	1	6	2689
2	C	1	7	4904
2	C	1	8	3640
2	C	1	9	3489
2	C	1	10	3104
2	C	2	1	4696
2	C	2	2	2983
2	C	2	3	8272
2	C	2	4	2064
2	C	2	5	1496
2	C	2	6	5568
2	C	2	7	2592
2	C	2	8	4376
2	C	2	9	6896
2	C	2	10	1921
2	C	3	1	2488
2	C	3	2	2193
2	C	3	3	2016
2	C	3	4	3184
2	C	3	5	6529
2	C	3	6	2288
2	C	3	7	1520
2	C	3	8	3783
2	C	3	9	2081
2	C	3	10	2544
2	C	4	1	3784
2	C	4	2	1672
2	C	4	3	2000
2	C	4	4	7160
2	C	4	5	3520
2	C	4	6	4360
2	C	4	7	1639
2	C	4	8	2168
2	C	4	9	6415
2	C	4	10	2000
3	C	1	1	2301
3	C	1	2	2289
3	C	1	3	2120
3	C	1	4	2136
3	C	1	5	3695
3	C	1	6	2233
3	C	1	7	2185
3	C	1	8	2176
3	C	1	9	3177
3	C	1	10	2881
3	C	2	1	1760
3	C	2	2	2113
3	C	2	3	3808
3	C	2	4	1816
3	C	2	5	2072
3	C	2	6	2839
3	C	2	7	2000
3	C	2	8	2160
3	C	2	9	2049
3	C	2	10	2369
3	C	3	1	3392
3	C	3	2	2177
3	C	3	3	2456
3	C	3	4	2440
3	C	3	5	2216
3	C	3	6	2312
3	C	3	7	2353
3	C	3	8	2015
3	C	3	9	1913
3	C	3	10	2057
3	C	4	1	2088
3	C	4	2	1961
3	C	4	3	2881
3	C	4	4	2193
3	C	4	5	2744
3	C	4	6	2014
3	C	4	7	1936
3	C	4	8	1984
3	C	4	9	1752
3	C	4	10	1800
